Name,Class,SubClass,Faction,Role,ThreatRating,TankDoctrine,OptimalRange,HighSlots,MidSlots,LowSlots,RigSlots,Turrets,Launchers,Powergrid_MW,CPU_tf,BaseSpeed_ms,SigRadius_m,DroneBay_m3,DroneBandwidth_Mbit,HullBonuses
Epithal,Industrial,Industrial,Gallente,Planetary Industry Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Erebus,Titan,Titan,Gallente,Supercapital Doomsday Titan,THREAT_SUPER,Armor Buffer,Omni Grid,8,7,8,3,6,6,4500000,2500,50,35000,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Eris,Interdictor,Interdictor,Gallente,Armor Warp Bubble Launcher,THREAT_BUBBLE,Armor Buffer,0-15 km,8,3,3,2,6,6,76,225,325,68,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Executioner,Frigate,Combat Frigate,Amarr,Fast Tackle / Laser Frigate,THREAT_COMBATANT,Armor / Shield,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Exequror,Cruiser,Logistics Cruiser,Gallente,Armor Logistics Cruiser,THREAT_LOGI,Armor,Remote Armor,5,5,4,2,0,0,1050,440,240,110,25,25,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Exequror Navy Issue,Faction Cruiser,Cruiser,Gallente (Navy),Heavy Hybrid Combat Cruiser,THREAT_COMBATANT,Armor Buffer,0-20 km,5,4,5,3,4,4,950,360,220,130,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Falcon,Force Recon,Force Recon Ship,Caldari,Covert Cloak / ECM / Cyno,THREAT_CYNO,Paper Thin,50-100 km,5,5,4,2,3,3,880,470,225,115,40,40,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay"
Federation Navy Comet,Faction Frigate,Combat Frigate,Gallente (Navy),Heavy Blaster / Rail Brawler,THREAT_COMBATANT,Armor / Hull Buffer,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Fenrir,Freighter,Freighter,Minmatar,Fast Sub-Capital Freighter,THREAT_HAULER,Buffer,0 km,0,0,3,3,0,0,0,0,65,3500,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Ferox,Battlecruiser,Battlecruiser,Caldari,Rail Sniper / Fleet Anchor,THREAT_COMBATANT,Shield Buffer,40-100 km,7,5,6,3,6,6,1350,440,155,260,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Ferox Navy Issue,Faction Battlecruiser,Battlecruiser,Caldari (Navy),Hybrid Brawler / Sniper,THREAT_COMBATANT,Heavy Shield Buffer,20-80 km,7,5,6,3,6,6,1350,440,155,260,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Flycatcher,Interdictor,Interdictor,Caldari,Shield Warp Bubble Launcher,THREAT_BUBBLE,Shield Buffer,0-20 km,8,3,3,2,6,6,76,225,325,68,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Garmur,Frigate,Combat Frigate,Mordu's Legion,Long-Range Point Kiter,THREAT_PIRATE,Shield,30-40 km,3,3,3,3,3,3,45,150,360,38,0,0,
Gila,Cruiser,Cruiser,Guristas,Drone / Missile Combat Cruiser,THREAT_PIRATE,Passive / Active Shield (500% Drone Bonus),0-60 km,5,4,5,3,4,4,950,360,220,130,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)"
Gnosis,Battlecruiser,Battlecruiser,Society of Conscious Thought,Multi-Role Combat / Exploration BC,THREAT_COMBATANT,Shield / Armor / Hull Buffer,0-50 km,7,5,6,3,6,6,1350,440,155,260,50,50,
Golem,Marauder,Marauder,Caldari,Bastion Torpedo / Cruise Marauder,THREAT_MARAUDER,Active Shield (Bastion Mode),30-100 km,8,6,7,2,4,4,19500,720,120,440,125,100,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Bastion Module capability (100% weapon range, 100% local rep, EWAR immunity)"
Griffin,Frigate,Combat Frigate,Caldari,ECM Jamming Frigate,THREAT_ECM,Paper Thin Shield,30-60 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Griffin Navy Issue,Faction Frigate,Combat Frigate,Caldari (Navy),Combat ECM / Hybrid Brawler,THREAT_ECM,Shield,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Guardian,Logistics Cruiser,Logistics Cruiser,Amarr,T2 Cap-Chain Armor Logistics,THREAT_LOGI,Armor,Remote Armor (Cap Transfer),5,5,4,2,0,0,1050,440,240,110,25,25,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Harbinger,Battlecruiser,Battlecruiser,Amarr,Heavy Laser Line BC,THREAT_COMBATANT,Armor Buffer,20-60 km,7,5,6,3,6,6,1350,440,155,260,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Harbinger Navy Issue,Faction Battlecruiser,Battlecruiser,Amarr (Navy),Navy Laser Battlecruiser,THREAT_COMBATANT,Armor Buffer,20-70 km,7,5,6,3,6,6,1350,440,155,260,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Harpy,Assault Frigate,Assault Frigate,Caldari,Rail Sniper / ADC Brawler,THREAT_T2_COMBAT,Shield Buffer + ADC,10-40 km,4,3,4,2,3,3,58,175,380,35,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Hawk,Assault Frigate,Assault Frigate,Caldari,Dual MASB Rocket Brawler,THREAT_T2_COMBAT,Dual MASB Active + ADC,0-20 km,4,3,4,2,3,3,58,175,380,35,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Hecate,Tactical Destroyer,Tactical Destroyer,Gallente,T3 Mode-Switching Blaster Destroyer,THREAT_T2_COMBAT,Active / Passive Armor / Hull,0-15 km,6,4,4,1,4,4,84,235,315,60,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Hel,Supercarrier,Supercarrier,Minmatar,Supercapital Heavy Carrier,THREAT_SUPER,Shield Buffer,Omni Grid,6,7,7,3,0,0,1200000,1800,60,18000,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Helios,Covert Ops,Covert Ops,Gallente,Stealth Scout / Cyno,THREAT_COVERT,Paper Thin,Covert,3,4,2,2,1,1,28,210,330,34,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Heretic,Interdictor,Interdictor,Amarr,Armor Warp Bubble Launcher,THREAT_BUBBLE,Armor Buffer,0-20 km,8,3,3,2,6,6,76,225,325,68,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Heron,Frigate,Combat Frigate,Caldari,Exploration / Light Drone,THREAT_COMBATANT,Shield Buffer,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)"
Heron Navy Issue,Faction Frigate,Combat Frigate,Caldari (Navy),Combat Explorer / Rocket Brawler,THREAT_COMBATANT,Shield Buffer / Dual MASB,0-20 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Hoarder,Industrial,Industrial,Minmatar,Ammo & Charge Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Hound,Stealth Bomber,Stealth Bomber,Minmatar,Covert Torpedo / Bomb Bomber,THREAT_COVERT,Paper Thin,30-60 km,5,4,2,2,0,3,45,240,280,40,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Hubris,Lancer Dreadnought,Dreadnought,Gallente,Disruptive Lancer Dread,THREAT_CAPITAL,Armor Active,Lancer Beam,6,5,7,3,3,3,650000,950,75,8500,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Huginn,Combat Recon,Combat Recon Ship,Minmatar,D-Scan Immune 40km Web & Painter,THREAT_ECM,Shield / Armor Buffer,0-40 km (Web) / 60-100 km (Paint),5,5,4,2,4,4,900,480,215,120,50,50,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength
Hulk,Exhumer,Exhumer,ORE,Maximum Yield T2 Exhumer,THREAT_MINING,Paper Thin,0-15 km,2,4,3,2,2,0,60,320,110,180,50,50,
Hurricane,Battlecruiser,Battlecruiser,Minmatar,Heavy Projectile Battlecruiser,THREAT_COMBATANT,Shield / Armor Buffer,15-40 km AC / 70+ km Art,7,5,6,3,6,6,1350,440,155,260,50,50,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Hurricane Navy Issue,Faction Battlecruiser,Battlecruiser,Minmatar (Fleet),Navy Projectile Battlecruiser,THREAT_COMBATANT,Armor / Shield Buffer,20-80 km,7,5,6,3,6,6,1350,440,155,260,50,50,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Hyena,Electronic Attack Ship,Electronic Attack Ship,Minmatar,40km Stasis Webifier Frigate,THREAT_ECM,Paper Thin,0-40 km,3,5,3,2,2,2,42,220,390,36,15,15,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength
Hyperion,Battleship,Battleship,Gallente,Active Armor Blaster Brawler,THREAT_COMBATANT,Dual / Triple Large Rep Active Armor,0-25 km,8,6,7,3,7,7,16500,650,115,420,125,100,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Ikitursa,Heavy Assault Cruiser,Heavy Assault Cruiser,Triglavian,HAC Disintegrator Brawler,THREAT_T2_COMBAT,Armor,10-35 km,5,4,6,2,5,5,1150,410,230,125,50,50,
Imicus,Frigate,Combat Frigate,Gallente,Exploration / Light Drone,THREAT_COMBATANT,Armor,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Imicus Navy Issue,Faction Frigate,Combat Frigate,Gallente (Navy),Combat Explorer / Heavy Drone,THREAT_COMBATANT,Armor Buffer,0-20 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Impel,Deep Space Transport,Combat Frigate,Amarr,Heavy Armor DST,THREAT_HAULER,Immense Armor Buffer (+2 Warp Core),0 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Imperial Navy Slicer,Faction Frigate,Combat Frigate,Amarr (Navy),Beam / Pulse Nano Laser Kiter,THREAT_COMBATANT,Armor Buffer,20-40 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Incursus,Frigate,Combat Frigate,Gallente,Active Armor Blaster Brawler,THREAT_COMBATANT,Dual Rep Active Armor,0-8 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Inquisitor,Frigate,Logistics Cruiser,Amarr,Armor Logistics Frigate,THREAT_LOGI,Armor,Remote Armor,5,5,4,2,0,0,1050,440,240,110,25,25,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Ishkur,Assault Frigate,Assault Frigate,Gallente,Drone / Blaster Assault Frigate,THREAT_T2_COMBAT,Armor Buffer / Active + ADC,0-20 km,4,3,4,2,3,3,58,175,380,35,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Ishtar,Heavy Assault Cruiser,Heavy Assault Cruiser,Gallente,HAC Heavy Drone Cruiser,THREAT_T2_COMBAT,Armor / Shield Buffer + ADC,0-80 km,5,4,6,2,5,5,1150,410,230,125,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Iteron Mark V,Industrial,Industrial,Gallente,High-Capacity Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Jackdaw,Tactical Destroyer,Tactical Destroyer,Caldari,T3 Mode-Switching Missile Destroyer,THREAT_T2_COMBAT,Active / Passive Shield,20-60 km,6,4,4,1,4,4,84,235,315,60,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Jaguar,Assault Frigate,Assault Frigate,Minmatar,Dual MASB Tackle Assault,THREAT_T2_COMBAT,Dual MASB Shield + ADC,0-20 km,4,3,4,2,3,3,58,175,380,35,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Karura,Lancer Dreadnought,Dreadnought,Caldari,Disruptive Lancer Dread,THREAT_CAPITAL,Shield Active,Lancer Beam,6,5,7,3,3,3,650000,950,75,8500,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Keres,Electronic Attack Ship,Electronic Attack Ship,Gallente,Long-Range Dampener / Point,THREAT_ECM,Paper Thin,30-60 km,3,5,3,2,2,2,42,220,390,36,15,15,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Kestrel,Frigate,Combat Frigate,Caldari,Missile / Rocket Brawler,THREAT_COMBATANT,Shield Buffer / Active,0-25 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Khizriel,Battlecruiser,Battlecruiser,Angel Cartel,Heavy Skirmish Battlecruiser,THREAT_PIRATE,Shield Buffer,20-50 km,7,5,6,3,6,6,1350,440,155,260,50,50,
Kikimora,Destroyer,Destroyer,Triglavian,Long-Range Disintegrator Destroyer,THREAT_PIRATE,Armor / Shield,15-40 km,8,2,3,3,7,7,72,200,310,65,0,0,
Kirin,Logistics Frigate,Logistics Cruiser,Caldari,T2 Shield Logistics Frigate,THREAT_LOGI,Shield,Remote Shield,5,5,4,2,0,0,1050,440,240,110,25,25,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Kitsune,Electronic Attack Ship,Electronic Attack Ship,Caldari,Long-Range Fleet ECM,THREAT_ECM,Paper Thin,50-100 km,3,5,3,2,2,2,42,220,390,36,15,15,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Komodo,Titan,Titan,Guristas,Guristas Supercapital Titan,THREAT_SUPER,Shield Buffer,Omni Grid,8,7,8,3,6,6,4500000,2500,50,35000,0,0,Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Kronos,Marauder,Marauder,Gallente,Bastion Blaster / Rail Marauder,THREAT_MARAUDER,Active Armor (Bastion Mode),0-30 km (Blasters) / 60-120 km (Rails),8,6,7,2,4,4,19500,720,120,440,125,100,"Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Bastion Module capability (100% weapon range, 100% local rep, EWAR immunity)"
Kryos,Industrial,Industrial,Gallente,Ice Product Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Lachesis,Combat Recon,Combat Recon Ship,Gallente,D-Scan Immune Long Point & Damp,THREAT_ECM,Armor / Shield Buffer,40-70 km,5,5,4,2,4,4,900,480,215,120,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Legion,Strategic Cruiser,Strategic Cruiser,Amarr,Modular T3C (Laser / Missile / Neut / Cloak),THREAT_T2_COMBAT,Armor Buffer / Active,20-70 km,6,6,6,3,5,5,1200,460,235,115,60,50,"Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus"
Leshak,Battleship,Battleship,Triglavian,Capital / Structure Buster,THREAT_PIRATE,Armor,20-60 km,8,6,7,3,7,7,16500,650,115,420,125,100,
Leviathan,Titan,Titan,Caldari,Supercapital Missile Titan,THREAT_SUPER,Shield Buffer,Omni Grid,8,7,8,3,6,6,4500000,2500,50,35000,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Lif,Force Auxiliary,Force Auxiliary,Minmatar,Capital Shield FAX,THREAT_CAPITAL,Active Shield (Triage),Remote Shield,5,6,6,3,0,0,580000,1050,65,9500,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Loggerhead,Force Auxiliary,Force Auxiliary,Guristas,Pirate Shield FAX,THREAT_CAPITAL,Shield Active,Fleet Remote Shield,5,6,6,3,0,0,580000,1050,65,9500,0,0,Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Loki,Strategic Cruiser,Strategic Cruiser,Minmatar,Modular T3C (Web / Artillery / Covert),THREAT_T2_COMBAT,Shield / Armor Buffer / Active,0-45 km (Web) / 30-80 km (Art/HAM),6,6,6,3,5,5,1200,460,235,115,60,50,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Machariel,Battleship,Battleship,Angel Cartel,Fast Battleship / Fleet Anchor,THREAT_PIRATE,Shield Buffer / Armor,15-40 km (800mm AC) or 70-130 km (1400mm Artillery),8,6,7,3,7,7,16500,650,115,420,125,100,
Mackinaw,Exhumer,Exhumer,ORE,High-Capacity T2 Exhumer,THREAT_MINING,Shield Buffer,0-15 km,2,4,3,2,2,0,60,320,110,180,50,50,
Maelstrom,Battleship,Battleship,Minmatar,Active Shield / Artillery BS,THREAT_COMBATANT,Active Shield (X-Large Booster),60-140 km,8,6,7,3,7,7,16500,650,115,420,125,100,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Magnate,Frigate,Combat Frigate,Amarr,Exploration / Light Drone,THREAT_COMBATANT,Armor,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Magnate Navy Issue,Faction Frigate,Combat Frigate,Amarr (Navy),Combat Explorer / Heavy Drone,THREAT_COMBATANT,Armor Buffer,0-20 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Magus,Command Destroyer,Command Destroyer,Gallente,Micro Jump Field / Armor Skiff,THREAT_BUBBLE,Armor Buffer,0-20 km,6,4,4,2,4,4,88,245,330,62,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Malediction,Interceptor,Interceptor,Amarr,Fleet Fast Tackle Interceptor,THREAT_COMBATANT,Armor / Shield,0-15 km,3,3,3,2,2,2,38,140,470,32,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Maller,Cruiser,Cruiser,Amarr,Heavy Armor Buffer Bait Cruiser,THREAT_COMBATANT,Massive Armor Buffer (6 Lows),0-15 km,5,4,5,3,4,4,950,360,220,130,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Mamba,Destroyer,Destroyer,Guristas,Pirate Missile Destroyer,THREAT_PIRATE,Shield Buffer,20-45 km,8,2,3,3,7,7,72,200,310,65,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)"
Mammoth,Industrial,Industrial,Minmatar,High-Capacity Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Manticore,Stealth Bomber,Stealth Bomber,Caldari,Covert Torpedo / Bomb Bomber,THREAT_COVERT,Paper Thin,30-60 km,5,4,2,2,0,3,45,240,280,40,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay"
Marshal,Battleship,Black Ops,CONCORD,Covert Black Ops Battleship,THREAT_CYNO,Active Shield / Armor,0-60 km,8,6,7,2,6,6,17500,700,140,380,125,100,Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Mastodon,Deep Space Transport,Combat Frigate,Minmatar,Heavy Shield DST,THREAT_HAULER,Immense Shield Buffer (+2 Warp Core),0 km,3,3,3,3,3,3,45,150,360,38,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Maulus,Frigate,Combat Frigate,Gallente,Remote Sensor Dampener,THREAT_ECM,Paper Thin,30-70 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Maulus Navy Issue,Faction Frigate,Combat Frigate,Gallente (Navy),Combat Dampener / Scram Kiter,THREAT_ECM,Armor,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Megathron,Battleship,Battleship,Gallente,Hybrid Brawler / Fleet Battleship,THREAT_COMBATANT,Armor Buffer,0-25 km (Blasters) / 50-100 km (Rails),8,6,7,3,7,7,16500,650,115,420,125,100,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Megathron Navy Issue,Faction Battleship,Battleship,Gallente (Navy),Navy Hybrid Battleship,THREAT_COMBATANT,Armor Buffer,0-30 km / 60-120 km,8,6,7,3,7,7,16500,650,115,420,125,100,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Mekubal,Destroyer,Destroyer,Angel Cartel,Pirate Destroyer / Frigate Hunter,THREAT_PIRATE,Shield Buffer,8-20 km (Autocannons),8,2,3,3,7,7,72,200,310,65,0,0,
Merlin,Frigate,Combat Frigate,Caldari,Blaster / Rail Brawler,THREAT_COMBATANT,Shield Buffer / Dual MASB,0-10 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Miasmos,Industrial,Industrial,Gallente,Mineral & Ore Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Minokawa,Force Auxiliary,Force Auxiliary,Caldari,Capital Shield FAX,THREAT_CAPITAL,Active Shield (Triage),Remote Shield,5,6,6,3,0,0,580000,1050,65,9500,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Moa,Cruiser,Cruiser,Caldari,Rail / Blaster Fleet Cruiser,THREAT_COMBATANT,Heavy Shield Buffer,0-15 km / 30-60 km,5,4,5,3,4,4,950,360,220,130,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Molok,Titan,Titan,Blood Raiders,Blood Raider Supercapital,THREAT_SUPER,Armor Buffer,Omni Grid,8,7,8,3,6,6,4500000,2500,50,35000,0,0,Role Bonus: 100% Energy Drain range and Nosferatu cap-neutral drain bonus
Monitor,Cruiser,Cruiser,CONCORD,Flag Cruiser / Invulnerable FC,THREAT_COMBATANT,Immense Omni Buffer (1M+ EHP),0 km,5,4,5,3,4,4,950,360,220,130,50,50,
Moros,Dreadnought,Dreadnought,Gallente,Capital Blaster / Rail Dread,THREAT_CAPITAL,Active Armor (Siege),Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Moros Navy Issue,Faction Dreadnought,Dreadnought,Gallente (Navy),Navy Capital Hybrid Dread,THREAT_CAPITAL,Armor Active,Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Muninn,Heavy Assault Cruiser,Heavy Assault Cruiser,Minmatar,HAC Heavy Missile Fleet Cruiser,THREAT_T2_COMBAT,Armor / Shield Buffer + ADC,40-80 km,5,4,6,2,5,5,1150,410,230,125,50,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus"
Myrmidon,Battlecruiser,Battlecruiser,Gallente,Triple Active Armor Drone BC,THREAT_COMBATANT,Triple Rep Active Armor,0-50 km,7,5,6,3,6,6,1350,440,155,260,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
